Quantity,Artefact,Brand,Model Number,Artefact Problem,Problem Symptoms,Problem Investigation,Artefacts Needed for Problem Investigation,Problem Resolution,Way of Carrying Out the Problem Resolution,Artefacts Needed for Problem Resolution
Typically,Refrigerator,N/A,N/A,Condenser Fan Motor Malfunction,Noisy; Not as cool as normal,Unplug refrigerator and take off access panel at back. Check fan for wear and debris. Vacuum area regularly,N/A,Replace fan motor,Remove any debris blocking fan blade; replace worn or damaged fan blades or rubber mounting grommets,Condenser fan motor; New fan blades or rubber mounting grommets
Universally,Refrigerator,N/A,N/A,Broken Compressor Pump,Leaking fluid,"Disconnect the fridge electricity and take off the cover from the evaporator fan. Is the fan clogged up with frost or ice? Is there damage to the fan blades, or are they loose? Check to see if the motor shaft turns freely.",Screwdriver,Replace the broken compressor,Disconnect the fridge electricity and take off the cover from the evaporator fan. Check the fan for ice or frost buildup. Inspect the fan blades for damage or looseness. Check the motor shaft for free turning. Replace the motor with a new one.,"Screwdriver, new compressor motor"
Typically,Refrigerator,N/A,N/A,Evaporator Fan Motor Grommet,Noisy,"Unplug the fridge and take a look at the evaporator fan motor in the freezer compartment, behind the back panel.",N/A,Replace grommets,"Check if the grommets are worn or loose; if they are, replace them.",Replacement grommets
Universally,Refrigerator,N/A,N/A,Leaking,Water leaking from the fridge,"Check for moisture along the edge of the door and ensure that the gasket’s still uniform in shape, flexible, and uncracked.",N/A,Replace door gasket,Run the new gasket on low heat in the clothing dryer so that it will be more flexible and easier to fit onto the fridge door.,N/A
Universally,Refrigerator,N/A,N/A,Leaking,N/A,"Unplug the fridge and turn off the water supply. Check the connections on the water supply pipes to see if they are cracked or leaky: you may need to tighten or replace those connectors. Check the valve itself in the same way, as well as the outlet tubing.",None,Replace water inlet valve,"Unplug the fridge, turn off the water supply, check the connections on the water supply pipes, check the valve itself and the outlet tubing, replace anything cracked, abraded, brittle or broken.",Water inlet valve
Universally,Refrigerator,N/A,N/A,Leaking,N/A,Check the ice cube tray to see if it’s making normal ice. Check for a blockage in the tube that could be keeping water from flowing into the fill cup.,N/A,Replace the outlet tube between the fill valve and the ice maker,"Unplug the fridge, remove the outlet tube, clear or replace the tube.","Fridge, outlet tube"
Typically,Refrigerator,N/A,N/A,Overload or Relay Start Capacitor,"Clicking, compressor won't start","Check relay, overload and start capacitor using a multi-meter",Multi-meter,Replace start capacitor,Unplug fridge and use multi-meter to check relay and overload,Start capacitor
Universally,Refrigerator,N/A,N/A,Cold Control & Temperature Control,Will not start,"Check the relay capacitor, the temperature control, and the electronic control board",Multi-meter,Replace the temperature control,"Unplug the fridge, take the front panel off the control box, pull the temperature control out of its housing and remove the terminal leads. Then use a multi-meter to check the continuity as you turn the knob down to a colder setting: the switch should close as you turn it down",Multi-meter
Universally,Refrigerator,N/A,N/A,Will not start,N/A,"Check the relay capacitor, temperature control, and electronic control board",N/A,Replace electronic control board,"Unplug the fridge and inspect the control board for evidence of burnt connections, deteriorated foil, or signs that arcing has occurred",Control board
Universally,Refrigerator,N/A,N/A,Air Inlet Damper or Baffle,Fridge too warm,Jiggle the knob to see if it opens,N/A,Replace the air inlet damper,"Open and close the knob easily using the knob, ensure the temperature-sensing bulb is positioned correctly",N/A
Universally,Refrigerator,N/A,N/A,Ice maker not making ice,Ice absent or too small,"Inspect water supply, check tubes, filter, and inlet valve at back of fridge for breaks or leaks",N/A,"Unplug fridge, remove outlet tube between fill valve and ice maker, clear or replace tube",N/A,N/A
Universally,Refrigerator,N/A,N/A,Broken compressor pump,Leaking fluid,Check the back of the fridge for breaks or leaks,Multi-meter,Replace the water valve,"Turn off the household supply to this valve and remove the input tubing to check to see if it has a little debris screen on it that may have gotten clogged. If so, clean the screen to allow water back into the ice machine. Check the inlet tubing for blockage, and make sure the manual water shut-off valve is clean and clear on the inside. If the ice maker fill tube has iced over, it could be that you need greater household water pressure to keep water flowing into the icemaker, or it could be that there’s dirt or a defect in the water inlet valve. Before you decide to replace the water valve, check to ensure power is reaching it properly. To check the electrical function of the water inlet valve, unplug the refrigerator and shut off the water supply to it. Remove the back panel and trace the water tube from the ice machine to the valve, to discover the solenoid inlet valve responsible for switching on the water flow. Test that solenoid with a multi-meter to determine if it has continuity. The electricity that runs to this solenoid originates in the ice maker control.",Multi-meter
Typically,Refrigerator,N/A,N/A,Ice & Water Filter,Ice maker not making ice,"Inspect the water supply. Check the tubes, filter, and inlet valve at the back of the fridge for breaks or leaks.",N/A,Replace the water filter,"Check the owner’s manual under “Maintenance” to find the location of the filter in your particular fridge; it’s usually somewhere easy to get to, in the open area of the fridge that stores food.",Water filter
Universally,Refrigerator,N/A,N/A,Broken Compressor Pump,Leaking fluid,"Inspect the water supply. Check the tubes, filter, and inlet valve at the back of the fridge for breaks or leaks.",Voltmeter,Replace the broken compressor,"Remove the cover at the front of the icemaker, use a 14-gauge solid wire bent into a U shape, with the insulation stripped ¾-inch of each end, insert the ends of the wire into the test points labeled T and H for about five to ten seconds, close the freezer door switch with your finger, insert the test leads from a voltmeter into the test points labeled L and N.","Voltmeter, 14-gauge solid wire"
Universally,Refrigerator,N/A,N/A,Cold Control or Temperature Control,Fridge and Freezer are too warm,"Unplug the fridge. Find the cold control: it will be the knob with a range starting at “off,” inside your fridge, where the food’s stored. When the knob is at midpoint of its range, the fridge should be at about 38 degrees F. Check to ensure that the sensor wire or bulb is in its place and shows no sign of damage. Inspect the wire terminals on the control to make sure they’re not corroded or loose. And use your multi-meter to make sure the control itself has continuity.",Multi-meter,Replace the cold control,"Unplug the fridge. Find the cold control: it will be the knob with a range starting at “off,” inside your fridge, where the food’s stored. Remove the control. Install the new control. Connect the wires and test the control with a multi-meter.",Multi-meter
